,Tweet,stweets,puretext,emojis,c_emojis,Affect Dimension
60050,really dont want home  😢   😢   😢   😢   😢   😢   😢  crying miserable,really dont want home   😢     😢     😢     😢     😢     😢     😢   crying miserable,really dont want home                      crying miserable,😢 😢 😢 😢 😢 😢 😢,😢 😢 😢 😢 😢 😢 😢,2
60061,damn tired hell i day week  😭  i bad good,damn tired hell i day week   😭   i bad good,damn tired hell i day week    i bad good,😭,😭,2
60066, 😂  snowflake random funny man dull moment brilliant,  😂   snowflake random funny man dull moment brilliant,   snowflake random funny man dull moment brilliant,😂,😂,2
60067,good morning happy i hope terrific day enjoy  😃 ,good morning happy i hope terrific day enjoy   😃  ,good morning happy i hope terrific day enjoy   ,😃,😃,2
60073,the sound rain pretty peaceful mood  😅 ,the sound rain pretty peaceful mood   😅  ,the sound rain pretty peaceful mood   ,😅,😅,2
60074,half hour  😤 ,half hour   😤  ,half hour   ,😤,😤,2
60078,i thought i i miss  😥 ,i thought i i miss   😥  ,i thought i i miss   ,😥,😥,2
60079,imagine crying right getting  😭  meanwhile dont chance war  😭 ,imagine crying right getting   😭   meanwhile dont chance war   😭  ,imagine crying right getting    meanwhile dont chance war   ,😭 😭,😭 😭,2
60081,moron driving oversize truck big flag bed forth country music  😐  disappointment,moron driving oversize truck big flag bed forth country music   😐   disappointment,moron driving oversize truck big flag bed forth country music    disappointment,😐,😐,2
60095,last making lose heartbreaking channel size nearly soon  😀 ,last making lose heartbreaking channel size nearly soon   😀  ,last making lose heartbreaking channel size nearly soon   ,😀,😀,2
60096,governor bum love communist  😂  crying,governor bum love communist   😂   crying,governor bum love communist    crying,😂,😂,2
60108,did men shy mean so i reassure making sure good investment  🙄 ,did men shy mean so i reassure making sure good investment   🙄  ,did men shy mean so i reassure making sure good investment   ,🙄,,2
60124,lighter total man the rate jubilee losing  😟 ,lighter total man the rate jubilee losing   😟  ,lighter total man the rate jubilee losing   ,😟,,2
60125,still sad channel  😢 ,still sad channel   😢  ,still sad channel   ,😢,😢,2
60131,not sadly  😪 ,not sadly   😪  ,not sadly   ,😪,😪,2
60134,annoy  😂 ,annoy   😂  ,annoy   ,😂,😂,2
60135,migraine worst thing  😣  burst,migraine worst thing   😣   burst,migraine worst thing    burst,😣,,2
60139,being work sober  🤦🏽‍♂️  i,being work sober   🤦  🏽 ‍ ♂ ️  i,being work sober  ‍️  i,🤦 🏽 ♂,,2
60144,oh  🙁 ,oh   🙁  ,oh   ,🙁,,2
60154,listen golden brown giving life hell dark  😓 ,listen golden brown giving life hell dark   😓  ,listen golden brown giving life hell dark   ,😓,😓,2
60157,time seeing today cancel meet greet storm were soaked  😡 ,time seeing today cancel meet greet storm were soaked   😡  ,time seeing today cancel meet greet storm were soaked   ,😡,😡,2
60173,wrapped in this burrito sweat this all out  😰 ,wrapped in this burrito sweat this all out   😰  ,wrapped in this burrito sweat this all out   ,😰,😰,2
60174,i think ill eternally lit teacher  😂 ,i think ill eternally lit teacher   😂  ,i think ill eternally lit teacher   ,😂,😂,2
60186,what miserable piece  😡 ,what miserable piece   😡  ,what miserable piece   ,😡,😡,2
60187,my world  😭 ,my world   😭  ,my world   ,😭,😭,2
60191,the way twitter work little alarming  🤦🏾‍♀️ ,the way twitter work little alarming   🤦  🏾 ‍ ♀ ️ ,the way twitter work little alarming  ‍️ ,🤦 🏾 ♀,,2
60200,man i feel like crap today  😰 ,man i feel like crap today   😰  ,man i feel like crap today   ,😰,😰,2
60218,i woke hardly believing night  😰 ,i woke hardly believing night   😰  ,i woke hardly believing night   ,😰,😰,2
60220,i temper chill dear dont i worry u sorry  😫 ,i temper chill dear dont i worry u sorry   😫  ,i temper chill dear dont i worry u sorry   ,😫,😫,2
60226, 😉  dull,  😉   dull,   dull,😉,😉,2
60231,the disappointment actually new club sponsor  😂 ,the disappointment actually new club sponsor   😂  ,the disappointment actually new club sponsor   ,😂,😂,2
60232,dirty chai tea spot gloomy morning  😊 ,dirty chai tea spot gloomy morning   😊  ,dirty chai tea spot gloomy morning   ,😊,😊,2
60233,u literally word close  😰 ,u literally word close   😰  ,u literally word close   ,😰,😰,2
60234,stupidity cultural identity  😠 ,stupidity cultural identity   😠  ,stupidity cultural identity   ,😠,😠,2
60237,miserable work  😅 ,miserable work   😅  ,miserable work   ,😅,😅,2
60239,i came damn boy stayed great actual job  👍🏾 ,i came damn boy stayed great actual job   👍  🏾  ,i came damn boy stayed great actual job   ,👍 🏾,,2
60242,twitter days massive critical debate people dont like annoying depressing dull  😑 ,twitter days massive critical debate people dont like annoying depressing dull   😑  ,twitter days massive critical debate people dont like annoying depressing dull   ,😑,😑,2
60243,lost  😢  plus tired sick cold day paradise upset unwell,lost   😢   plus tired sick cold day paradise upset unwell,lost    plus tired sick cold day paradise upset unwell,😢,😢,2
60252,wed fuming  😡 ,wed fuming   😡  ,wed fuming   ,😡,😡,3
60255,sext horny ass naughty pussy  😩  horny snap,sext horny ass naughty pussy   😩   horny snap,sext horny ass naughty pussy    horny snap,😩,😩,3
60265,sorry i annoy real passionate ruby want love  😭 ,sorry i annoy real passionate ruby want love   😭  ,sorry i annoy real passionate ruby want love   ,😭,😭,3
60268,worst  😥 ,worst   😥  ,worst   ,😥,😥,3
60273,head hurting  😤 ,head hurting   😤  ,head hurting   ,😤,😤,3
60276,did men shy mean so i reassure making sure good investment  🙄 ,did men shy mean so i reassure making sure good investment   🙄  ,did men shy mean so i reassure making sure good investment   ,🙄,,3
60282,i got discover prime day deal regular price  😡 ,i got discover prime day deal regular price   😡  ,i got discover prime day deal regular price   ,😡,😡,3
60284,actually  😂 ,actually   😂  ,actually   ,😂,😂,3
60294,not sadly  😪 ,not sadly   😪  ,not sadly   ,😪,😪,3
60301,the disappointment actually new club sponsor  😂 ,the disappointment actually new club sponsor   😂  ,the disappointment actually new club sponsor   ,😂,😂,3
60303,getting  😠 ,getting   😠  ,getting   ,😠,😠,3
60305,i literally love  😂 ,i literally love   😂  ,i literally love   ,😂,😂,3
60306,dont waste time crap  😂   😂   😂  fro  😂   😂   😂 ,dont waste time crap   😂     😂     😂   fro   😂     😂     😂  ,dont waste time crap          fro         ,😂 😂 😂 😂 😂 😂,😂 😂 😂 😂 😂 😂,3
60320,she mad hung  😂 ,she mad hung   😂  ,she mad hung   ,😂,😂,3
60324,unhappy unfulfilled  😂 ,unhappy unfulfilled   😂  ,unhappy unfulfilled   ,😂,😂,3
60328,everybody  😂  tell got huff mad,everybody   😂   tell got huff mad,everybody    tell got huff mad,😂,😂,3
60333,annoy everything  🙃 ,annoy everything   🙃  ,annoy everything   ,🙃,,3
60345,man i feel like crap today  😰 ,man i feel like crap today   😰  ,man i feel like crap today   ,😰,😰,3
60354,i think ill eternally lit teacher  😂 ,i think ill eternally lit teacher   😂  ,i think ill eternally lit teacher   ,😂,😂,3
60357,time seeing today cancel meet greet storm were soaked  😡 ,time seeing today cancel meet greet storm were soaked   😡  ,time seeing today cancel meet greet storm were soaked   ,😡,😡,3
60361,i temper chill dear dont i worry u sorry  😫 ,i temper chill dear dont i worry u sorry   😫  ,i temper chill dear dont i worry u sorry   ,😫,😫,3
60368,cant handle rude people doesnt matter job consultant treat people like  😡 ,cant handle rude people doesnt matter job consultant treat people like   😡  ,cant handle rude people doesnt matter job consultant treat people like   ,😡,😡,3
60376,my world  😭 ,my world   😭  ,my world   ,😭,😭,3
60390,dont tease like  😤 ,dont tease like   😤  ,dont tease like   ,😤,😤,3
60393,i woke hardly believing night  😰 ,i woke hardly believing night   😰  ,i woke hardly believing night   ,😰,😰,3
60395,tweet grammatical error  😱 ,tweet grammatical error   😱  ,tweet grammatical error   ,😱,😱,3
60400,wrapped in this burrito sweat this all out  😰 ,wrapped in this burrito sweat this all out   😰  ,wrapped in this burrito sweat this all out   ,😰,😰,3
60404,good morning no crap today  😃  toddler cuddly,good morning no crap today   😃   toddler cuddly,good morning no crap today    toddler cuddly,😃,😃,3
60411, 😐 ,  😐  ,  ,😐,😐,3
60418,annoy  😂 ,annoy   😂  ,annoy   ,😂,😂,3
60420,u literally word close  😰 ,u literally word close   😰  ,u literally word close   ,😰,😰,3
60424,imagine crying right getting  😭  meanwhile dont chance war  😭 ,imagine crying right getting   😭   meanwhile dont chance war   😭  ,imagine crying right getting    meanwhile dont chance war   ,😭 😭,😭 😭,3
60432,half hour  😤 ,half hour   😤  ,half hour   ,😤,😤,3
60436,like i set car long gone  😭 ,like i set car long gone   😭  ,like i set car long gone   ,😭,😭,3
60437,i dont know  😄 ,i dont know   😄  ,i dont know   ,😄,😄,3
60441,ass  😤 ,ass   😤  ,ass   ,😤,😤,3
60444,the way twitter work little alarming  🤦🏾‍♀️ ,the way twitter work little alarming   🤦  🏾 ‍ ♀ ️ ,the way twitter work little alarming  ‍️ ,🤦 🏾 ♀,,3
60450,i havent lost weight i appear smaller  🙄 ,i havent lost weight i appear smaller   🙄  ,i havent lost weight i appear smaller   ,🙄,,3
60453, 😭 ,  😭  ,  ,😭,😭,3
60455,revenge marathon begun  ⚡ ,revenge marathon begun   ⚡  ,revenge marathon begun   ,⚡,,3
60464,i didnt ask for this either it just  😤 ,i didnt ask for this either it just   😤  ,i didnt ask for this either it just   ,😤,😤,3
60466,governor bum love communist  😂  crying,governor bum love communist   😂   crying,governor bum love communist    crying,😂,😂,3
60469,moron driving oversize truck big flag bed forth country music  😐  disappointment,moron driving oversize truck big flag bed forth country music   😐   disappointment,moron driving oversize truck big flag bed forth country music    disappointment,😐,😐,3
60472,the sound rain pretty peaceful mood  😅 ,the sound rain pretty peaceful mood   😅  ,the sound rain pretty peaceful mood   ,😅,😅,3
60485,i thought yer mad  😂 ,i thought yer mad   😂  ,i thought yer mad   ,😂,😂,3
60492,good morning happy i hope terrific day enjoy  😃 ,good morning happy i hope terrific day enjoy   😃  ,good morning happy i hope terrific day enjoy   ,😃,😃,3
60508,seriously smack face  😵 ,seriously smack face   😵  ,seriously smack face   ,😵,,3
60509,just couple new found glory great start birthday weekend  👊 ,just couple new found glory great start birthday weekend   👊  ,just couple new found glory great start birthday weekend   ,👊,,3
60516,stupidity cultural identity  😠 ,stupidity cultural identity   😠  ,stupidity cultural identity   ,😠,😠,3
60520,sir need umbrella today evening sun pave way  😟 ,sir need umbrella today evening sun pave way   😟  ,sir need umbrella today evening sun pave way   ,😟,,3
60521,why bad thats theyre moody theyre built anger regret  😂 ,why bad thats theyre moody theyre built anger regret   😂  ,why bad thats theyre moody theyre built anger regret   ,😂,😂,3
60524,what miserable piece  😡 ,what miserable piece   😡  ,what miserable piece   ,😡,😡,3
60527,maybe joey tinder posted social media trip  ☹️  bitter,maybe joey tinder posted social media trip   ☹ ️  bitter,maybe joey tinder posted social media trip  ️  bitter,☹,☹,3
60531,if going nurse learn nice patient person  🙃 ,if going nurse learn nice patient person   🙃  ,if going nurse learn nice patient person   ,🙃,,3
60532,cant drink day u dont start morning drake  😛 ,cant drink day u dont start morning drake   😛  ,cant drink day u dont start morning drake   ,😛,😛,3
60537,twitter days massive critical debate people dont like annoying depressing dull  😑 ,twitter days massive critical debate people dont like annoying depressing dull   😑  ,twitter days massive critical debate people dont like annoying depressing dull   ,😑,😑,3
60546,everything i order comes looking like piece  😤 ,everything i order comes looking like piece   😤  ,everything i order comes looking like piece   ,😤,😤,3
60557,bastard  😡 ,bastard   😡  ,bastard   ,😡,😡,3
60567, 😉  dull,  😉   dull,   dull,😉,😉,3
60570,marker n burst laughing swear seriously  🤦🏻‍♀️ ,marker n burst laughing swear seriously   🤦  🏻 ‍ ♀ ️ ,marker n burst laughing swear seriously  ‍️ ,🤦 🏻 ♀,,3
60578,what miserable ass weather  😭  dark gloomy depressing,what miserable ass weather   😭   dark gloomy depressing,what miserable ass weather    dark gloomy depressing,😭,😭,3
60589,anxious dont know worry  😶  slowly going mad,anxious dont know worry   😶   slowly going mad,anxious dont know worry    slowly going mad,😶,,3
